job_offer_id,department_id,role_id,publication_date,description
1,1,1,"2022-04-12","Develop and maintain software applications."
2,2,2,"2022-07-18","Analyze datasets and develop predictive models."
3,3,10,"2022-09-05","Design and maintain cloud infrastructure."
4,4,1,"2023-02-14","Develop scalable software solutions."
5,5,6,"2023-05-22","Develop and integrate AI-based applications."
6,6,10,"2023-08-10","Maintain cloud services and infrastructure."
7,7,3,"2023-03-15","Build and maintain data pipelines."
8,8,13,"2023-06-20","Develop backend services and APIs."
9,9,4,"2023-09-11","Develop and deploy machine learning models."
10,10,6,"2023-11-06","Build AI-powered software solutions."
11,11,2,"2024-01-15","Analyze large datasets and build statistical models."
12,12,1,"2024-02-19","Design and develop software applications."
13,13,15,"2023-04-03","Develop frontend and backend application features."
14,14,4,"2024-03-12","Train and evaluate machine learning models."
15,15,9,"2024-05-06","Automate software deployment and infrastructure."
16,16,2,"2023-07-24","Perform statistical analysis and predictive modeling."
17,17,11,"2024-02-05","Monitor systems and identify security threats."
18,18,10,"2024-06-17","Develop and maintain cloud infrastructure."
19,19,4,"2023-10-09","Design machine learning systems."
20,20,6,"2024-01-22","Develop AI-based tools and services."
21,21,3,"2024-04-08","Design scalable data processing pipelines."
22,22,1,"2023-08-28","Develop internal and customer-facing software."
23,23,7,"2024-05-13","Analyze operational and business data."
24,24,20,"2024-07-01","Maintain enterprise IT systems."
25,25,1,"2023-12-04","Develop scalable software applications."
26,26,2,"2024-03-25","Research and develop data-driven AI models."
27,27,3,"2024-06-10","Build data ingestion and transformation pipelines."
28,28,13,"2023-09-18","Develop backend applications and APIs."
29,29,10,"2024-04-15","Maintain cloud platforms and services."
30,30,2,"2024-07-22","Analyze data and develop predictive models."
31,31,12,"2024-02-12","Manage and optimize database systems."
32,32,10,"2024-05-20","Design cloud infrastructure and services."
33,33,1,"2023-11-13","Develop enterprise software solutions."
34,34,14,"2024-03-04","Develop user interfaces for software products."
35,35,2,"2024-06-03","Analyze customer and product datasets."
36,36,18,"2024-08-05","Coordinate development of software products."
37,37,10,"2024-04-01","Build and maintain cloud infrastructure."
38,38,8,"2023-10-30","Develop dashboards and business intelligence reports."
39,39,1,"2024-02-26","Develop and maintain software applications."
40,40,3,"2023-07-10","Develop data pipelines and storage systems."
41,41,4,"2024-01-08","Develop machine learning recommendation systems."
42,42,13,"2024-05-27","Develop backend services for digital products."
43,43,1,"2023-08-14","Develop scalable software systems."
44,44,2,"2024-03-18","Build predictive models from operational data."
45,45,9,"2024-07-15","Automate deployment and infrastructure processes."
46,46,15,"2023-10-16","Develop full stack web applications."
47,47,7,"2024-04-22","Analyze business and operational data."
48,48,17,"2024-06-24","Provide technical support for internal systems."
49,49,6,"2024-01-29","Develop AI-powered vehicle software."
50,50,3,"2024-04-29","Build data infrastructure and processing pipelines."
51,51,1,"2024-06-17","Develop software for digital platforms."
52,52,2,"2023-09-25","Analyze product and research datasets."
53,53,1,"2024-03-11","Develop software applications and services."
54,54,11,"2024-05-13","Protect systems from cybersecurity threats."
55,55,10,"2024-01-15","Develop enterprise cloud infrastructure."
56,56,3,"2024-04-15","Design and maintain enterprise data pipelines."
57,57,13,"2023-11-20","Develop backend software services."
58,58,1,"2024-02-05","Develop software for industrial applications."
59,59,7,"2024-05-06","Analyze operational and production data."
60,60,20,"2024-07-08","Maintain and administer enterprise IT systems."
